_identity,entry_timestamp,exit_timestamp,session_id,window,_window_numeric,_strategy_R,_scenario_R,_source,_state,_mae_bar,_recovery_bar,scenario,mae_threshold,recovery_level,deadline_bars
2024-02-06 14:50:00+00:00|2024-02-06 15:03:00+00:00|2024-02-05,2024-02-06 09:50:00-05:00,2024-02-06 10:03:00-05:00,2024-02-05,12,12.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-02-06 15:10:00+00:00|2024-02-06 15:15:00+00:00|2024-02-05,2024-02-06 10:10:00-05:00,2024-02-06 10:15:00-05:00,2024-02-05,12,12.0,-1.46,-1.46,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-02-06 15:25:00+00:00|2024-02-06 15:27:00+00:00|2024-02-05,2024-02-06 10:25:00-05:00,2024-02-06 10:27:00-05:00,2024-02-05,12,12.0,-1.5,-1.5,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-02-12 19:19:00+00:00|2024-02-12 19:22:00+00:00|2024-02-11,2024-02-12 14:19:00-05:00,2024-02-12 14:22:00-05:00,2024-02-11,12,12.0,-0.91,-0.91,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-02-14 15:54:00+00:00|2024-02-14 16:00:00+00:00|2024-02-13,2024-02-14 10:54:00-05:00,2024-02-14 11:00:00-05:00,2024-02-13,12,12.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-02-15 14:58:00+00:00|2024-02-15 15:09:00+00:00|2024-02-14,2024-02-15 09:58:00-05:00,2024-02-15 10:09:00-05:00,2024-02-14,12,12.0,-1.0444,-1.0444,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-02-27 14:41:00+00:00|2024-02-27 14:48:00+00:00|2024-02-26,2024-02-27 09:41:00-05:00,2024-02-27 09:48:00-05:00,2024-02-26,12,12.0,-0.9,-0.9,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-02-29 16:38:00+00:00|2024-02-29 16:50:00+00:00|2024-02-28,2024-02-29 11:38:00-05:00,2024-02-29 11:50:00-05:00,2024-02-28,12,12.0,-1.0444,-1.0444,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-03-05 14:36:00+00:00|2024-03-05 14:56:00+00:00|2024-03-04,2024-03-05 09:36:00-05:00,2024-03-05 09:56:00-05:00,2024-03-04,12,12.0,0.01,0.01,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-03-13 13:43:00+00:00|2024-03-13 14:00:00+00:00|2024-03-12,2024-03-13 09:43:00-04:00,2024-03-13 10:00:00-04:00,2024-03-12,12,12.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-03-13 14:01:00+00:00|2024-03-13 14:05:00+00:00|2024-03-12,2024-03-13 10:01:00-04:00,2024-03-13 10:05:00-04:00,2024-03-12,12,12.0,-0.45,-0.45,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-03-14 19:00:00+00:00|2024-03-14 19:09:00+00:00|2024-03-13,2024-03-14 15:00:00-04:00,2024-03-14 15:09:00-04:00,2024-03-13,12,12.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-03-14 19:10:00+00:00|2024-03-14 19:30:00+00:00|2024-03-13,2024-03-14 15:10:00-04:00,2024-03-14 15:30:00-04:00,2024-03-13,12,12.0,0.5156000000000001,0.5156000000000001,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-03-15 13:31:00+00:00|2024-03-15 13:43:00+00:00|2024-03-14,2024-03-15 09:31:00-04:00,2024-03-15 09:43:00-04:00,2024-03-14,12,12.0,0.9,0.9,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-03-19 13:40:00+00:00|2024-03-19 13:51:00+00:00|2024-03-18,2024-03-19 09:40:00-04:00,2024-03-19 09:51:00-04:00,2024-03-18,12,12.0,-1.0444,-1.0444,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-03-26 19:56:00+00:00|2024-03-26 20:00:00+00:00|2024-03-25,2024-03-26 15:56:00-04:00,2024-03-26 16:00:00-04:00,2024-03-25,12,12.0,-1.01,-1.01,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-03-27 13:54:00+00:00|2024-03-27 14:02:00+00:00|2024-03-26,2024-03-27 09:54:00-04:00,2024-03-27 10:02:00-04:00,2024-03-26,12,12.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-01 14:39:00+00:00|2024-04-01 14:59:00+00:00|2024-03-31,2024-04-01 10:39:00-04:00,2024-04-01 10:59:00-04:00,2024-03-31,12,12.0,0.08,0.08,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-04-02 13:40:00+00:00|2024-04-02 13:59:00+00:00|2024-04-01,2024-04-02 09:40:00-04:00,2024-04-02 09:59:00-04:00,2024-04-01,12,12.0,-0.46,-0.46,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-04-04 18:13:00+00:00|2024-04-04 18:18:00+00:00|2024-04-03,2024-04-04 14:13:00-04:00,2024-04-04 14:18:00-04:00,2024-04-03,12,12.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-04 18:19:00+00:00|2024-04-04 18:28:00+00:00|2024-04-03,2024-04-04 14:19:00-04:00,2024-04-04 14:28:00-04:00,2024-04-03,12,12.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-05 17:57:00+00:00|2024-04-05 18:07:00+00:00|2024-04-04,2024-04-05 13:57:00-04:00,2024-04-05 14:07:00-04:00,2024-04-04,12,12.0,-1.0444,-1.0444,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-08 13:38:00+00:00|2024-04-08 13:44:00+00:00|2024-04-07,2024-04-08 09:38:00-04:00,2024-04-08 09:44:00-04:00,2024-04-07,12,12.0,-1.05,-1.05,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-04-10 15:10:00+00:00|2024-04-10 15:27:00+00:00|2024-04-09,2024-04-10 11:10:00-04:00,2024-04-10 11:27:00-04:00,2024-04-09,12,12.0,-1.0444,-1.0444,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-12 16:40:00+00:00|2024-04-12 17:00:00+00:00|2024-04-11,2024-04-12 12:40:00-04:00,2024-04-12 13:00:00-04:00,2024-04-11,12,12.0,0.0256,0.0256,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-15 16:30:00+00:00|2024-04-15 16:50:00+00:00|2024-04-14,2024-04-15 12:30:00-04:00,2024-04-15 12:50:00-04:00,2024-04-14,12,12.0,0.4956,0.4956,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-15 19:04:00+00:00|2024-04-15 19:24:00+00:00|2024-04-14,2024-04-15 15:04:00-04:00,2024-04-15 15:24:00-04:00,2024-04-14,12,12.0,0.71,0.71,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-04-17 16:23:00+00:00|2024-04-17 16:43:00+00:00|2024-04-16,2024-04-17 12:23:00-04:00,2024-04-17 12:43:00-04:00,2024-04-16,12,12.0,-0.31,-0.31,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-04-17 16:46:00+00:00|2024-04-17 16:49:00+00:00|2024-04-16,2024-04-17 12:46:00-04:00,2024-04-17 12:49:00-04:00,2024-04-16,12,12.0,-1.17,-1.17,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-04-18 13:33:00+00:00|2024-04-18 13:36:00+00:00|2024-04-17,2024-04-18 09:33:00-04:00,2024-04-18 09:36:00-04:00,2024-04-17,12,12.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-18 13:37:00+00:00|2024-04-18 13:46:00+00:00|2024-04-17,2024-04-18 09:37:00-04:00,2024-04-18 09:46:00-04:00,2024-04-17,12,12.0,-1.0444,-1.0444,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-18 17:10:00+00:00|2024-04-18 17:24:00+00:00|2024-04-17,2024-04-18 13:10:00-04:00,2024-04-18 13:24:00-04:00,2024-04-17,12,12.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-19 16:07:00+00:00|2024-04-19 16:27:00+00:00|2024-04-18,2024-04-19 12:07:00-04:00,2024-04-19 12:27:00-04:00,2024-04-18,12,12.0,0.52,0.52,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-04-19 18:40:00+00:00|2024-04-19 19:00:00+00:00|2024-04-18,2024-04-19 14:40:00-04:00,2024-04-19 15:00:00-04:00,2024-04-18,12,12.0,0.5556,0.5556,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-22 19:34:00+00:00|2024-04-22 19:54:00+00:00|2024-04-21,2024-04-22 15:34:00-04:00,2024-04-22 15:54:00-04:00,2024-04-21,12,12.0,0.7456,0.7456,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-24 15:07:00+00:00|2024-04-24 15:27:00+00:00|2024-04-23,2024-04-24 11:07:00-04:00,2024-04-24 11:27:00-04:00,2024-04-23,12,12.0,-0.1843999999999999,-0.1843999999999999,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-24 16:07:00+00:00|2024-04-24 16:27:00+00:00|2024-04-23,2024-04-24 12:07:00-04:00,2024-04-24 12:27:00-04:00,2024-04-23,12,12.0,-0.0043999999999999,-0.0043999999999999,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-24 18:28:00+00:00|2024-04-24 18:48:00+00:00|2024-04-23,2024-04-24 14:28:00-04:00,2024-04-24 14:48:00-04:00,2024-04-23,12,12.0,0.1256,0.1256,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-04-25 13:31:00+00:00|2024-04-25 13:42:00+00:00|2024-04-24,2024-04-25 09:31:00-04:00,2024-04-25 09:42:00-04:00,2024-04-24,12,12.0,0.23,0.23,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-04-26 13:31:00+00:00|2024-04-26 13:33:00+00:00|2024-04-25,2024-04-26 09:31:00-04:00,2024-04-26 09:33:00-04:00,2024-04-25,12,12.0,-2.89,-2.89,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-04-29 13:43:00+00:00|2024-04-29 13:47:00+00:00|2024-04-28,2024-04-29 09:43:00-04:00,2024-04-29 09:47:00-04:00,2024-04-28,12,12.0,-0.31,-0.31,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-04-30 15:12:00+00:00|2024-04-30 15:32:00+00:00|2024-04-29,2024-04-30 11:12:00-04:00,2024-04-30 11:32:00-04:00,2024-04-29,12,12.0,0.2956,0.2956,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-05-01 15:18:00+00:00|2024-05-01 15:22:00+00:00|2024-04-30,2024-05-01 11:18:00-04:00,2024-05-01 11:22:00-04:00,2024-04-30,12,12.0,-1.27,-1.27,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-07-11 15:03:00+00:00|2024-07-11 15:07:00+00:00|2024-07-10,2024-07-11 11:03:00-04:00,2024-07-11 11:07:00-04:00,2024-07-10,13,13.0,-0.19,-0.19,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-08-14 16:22:00+00:00|2024-08-14 16:24:00+00:00|2024-08-13,2024-08-14 12:22:00-04:00,2024-08-14 12:24:00-04:00,2024-08-13,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-08-20 17:00:00+00:00|2024-08-20 17:06:00+00:00|2024-08-19,2024-08-20 13:00:00-04:00,2024-08-20 13:06:00-04:00,2024-08-19,14,14.0,-1.14,-1.14,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-08-26 17:45:00+00:00|2024-08-26 18:05:00+00:00|2024-08-25,2024-08-26 13:45:00-04:00,2024-08-26 14:05:00-04:00,2024-08-25,14,14.0,0.6056,0.6056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-08-27 15:33:00+00:00|2024-08-27 15:53:00+00:00|2024-08-26,2024-08-27 11:33:00-04:00,2024-08-27 11:53:00-04:00,2024-08-26,14,14.0,-0.48,-0.48,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-09-03 18:02:00+00:00|2024-09-03 18:19:00+00:00|2024-09-02,2024-09-03 14:02:00-04:00,2024-09-03 14:19:00-04:00,2024-09-02,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-09-03 18:21:00+00:00|2024-09-03 18:34:00+00:00|2024-09-02,2024-09-03 14:21:00-04:00,2024-09-03 14:34:00-04:00,2024-09-02,14,14.0,-1.0444,-1.0444,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-09-03 19:35:00+00:00|2024-09-03 19:41:00+00:00|2024-09-02,2024-09-03 15:35:00-04:00,2024-09-03 15:41:00-04:00,2024-09-02,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-09-09 17:42:00+00:00|2024-09-09 18:02:00+00:00|2024-09-08,2024-09-09 13:42:00-04:00,2024-09-09 14:02:00-04:00,2024-09-08,14,14.0,1.4656,1.4656,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-09-17 16:20:00+00:00|2024-09-17 16:23:00+00:00|2024-09-16,2024-09-17 12:20:00-04:00,2024-09-17 12:23:00-04:00,2024-09-16,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-09-18 15:33:00+00:00|2024-09-18 15:46:00+00:00|2024-09-17,2024-09-18 11:33:00-04:00,2024-09-18 11:46:00-04:00,2024-09-17,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-09-18 15:47:00+00:00|2024-09-18 15:55:00+00:00|2024-09-17,2024-09-18 11:47:00-04:00,2024-09-18 11:55:00-04:00,2024-09-17,14,14.0,-0.76,-0.76,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-09-19 18:16:00+00:00|2024-09-19 18:28:00+00:00|2024-09-18,2024-09-19 14:16:00-04:00,2024-09-19 14:28:00-04:00,2024-09-18,14,14.0,-0.92,-0.92,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-09-20 15:11:00+00:00|2024-09-20 15:16:00+00:00|2024-09-19,2024-09-20 11:11:00-04:00,2024-09-20 11:16:00-04:00,2024-09-19,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-09-20 18:06:00+00:00|2024-09-20 18:26:00+00:00|2024-09-19,2024-09-20 14:06:00-04:00,2024-09-20 14:26:00-04:00,2024-09-19,14,14.0,0.2656,0.2656,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-09-23 13:32:00+00:00|2024-09-23 13:45:00+00:00|2024-09-22,2024-09-23 09:32:00-04:00,2024-09-23 09:45:00-04:00,2024-09-22,14,14.0,0.25,0.25,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-09-26 13:34:00+00:00|2024-09-26 13:48:00+00:00|2024-09-25,2024-09-26 09:34:00-04:00,2024-09-26 09:48:00-04:00,2024-09-25,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-09-26 14:28:00+00:00|2024-09-26 14:48:00+00:00|2024-09-25,2024-09-26 10:28:00-04:00,2024-09-26 10:48:00-04:00,2024-09-25,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-09-27 13:36:00+00:00|2024-09-27 13:38:00+00:00|2024-09-26,2024-09-27 09:36:00-04:00,2024-09-27 09:38:00-04:00,2024-09-26,14,14.0,-0.23,-0.23,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-09-27 18:29:00+00:00|2024-09-27 18:45:00+00:00|2024-09-26,2024-09-27 14:29:00-04:00,2024-09-27 14:45:00-04:00,2024-09-26,14,14.0,-1.0444,-1.0444,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-10-01 19:34:00+00:00|2024-10-01 19:54:00+00:00|2024-09-30,2024-10-01 15:34:00-04:00,2024-10-01 15:54:00-04:00,2024-09-30,14,14.0,1.0756,1.0756,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-10-02 16:59:00+00:00|2024-10-02 17:01:00+00:00|2024-10-01,2024-10-02 12:59:00-04:00,2024-10-02 13:01:00-04:00,2024-10-01,14,14.0,-0.5,-0.5,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-10-03 16:43:00+00:00|2024-10-03 16:49:00+00:00|2024-10-02,2024-10-03 12:43:00-04:00,2024-10-03 12:49:00-04:00,2024-10-02,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-10-03 16:52:00+00:00|2024-10-03 17:01:00+00:00|2024-10-02,2024-10-03 12:52:00-04:00,2024-10-03 13:01:00-04:00,2024-10-02,14,14.0,0.37,0.37,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-10-07 18:30:00+00:00|2024-10-07 18:45:00+00:00|2024-10-06,2024-10-07 14:30:00-04:00,2024-10-07 14:45:00-04:00,2024-10-06,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-10-08 17:08:00+00:00|2024-10-08 17:14:00+00:00|2024-10-07,2024-10-08 13:08:00-04:00,2024-10-08 13:14:00-04:00,2024-10-07,14,14.0,-0.29,-0.29,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-10-10 16:46:00+00:00|2024-10-10 17:06:00+00:00|2024-10-09,2024-10-10 12:46:00-04:00,2024-10-10 13:06:00-04:00,2024-10-09,14,14.0,0.0456,0.0456,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-10-11 13:39:00+00:00|2024-10-11 13:43:00+00:00|2024-10-10,2024-10-11 09:39:00-04:00,2024-10-11 09:43:00-04:00,2024-10-10,14,14.0,-1.43,-1.43,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-10-14 14:58:00+00:00|2024-10-14 15:18:00+00:00|2024-10-13,2024-10-14 10:58:00-04:00,2024-10-14 11:18:00-04:00,2024-10-13,14,14.0,-0.0443999999999999,-0.0443999999999999,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-10-15 19:05:00+00:00|2024-10-15 19:23:00+00:00|2024-10-14,2024-10-15 15:05:00-04:00,2024-10-15 15:23:00-04:00,2024-10-14,14,14.0,0.29,0.29,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-10-17 13:33:00+00:00|2024-10-17 13:35:00+00:00|2024-10-16,2024-10-17 09:33:00-04:00,2024-10-17 09:35:00-04:00,2024-10-16,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-10-17 16:33:00+00:00|2024-10-17 16:38:00+00:00|2024-10-16,2024-10-17 12:33:00-04:00,2024-10-17 12:38:00-04:00,2024-10-16,14,14.0,-1.17,-1.17,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-10-17 18:08:00+00:00|2024-10-17 18:28:00+00:00|2024-10-16,2024-10-17 14:08:00-04:00,2024-10-17 14:28:00-04:00,2024-10-16,14,14.0,0.7856000000000001,0.7856000000000001,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-10-23 15:12:00+00:00|2024-10-23 15:27:00+00:00|2024-10-22,2024-10-23 11:12:00-04:00,2024-10-23 11:27:00-04:00,2024-10-22,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-10-23 17:12:00+00:00|2024-10-23 17:32:00+00:00|2024-10-22,2024-10-23 13:12:00-04:00,2024-10-23 13:32:00-04:00,2024-10-22,14,14.0,0.3156,0.3156,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-10-23 17:40:00+00:00|2024-10-23 18:00:00+00:00|2024-10-22,2024-10-23 13:40:00-04:00,2024-10-23 14:00:00-04:00,2024-10-22,14,14.0,0.23,0.23,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-10-24 13:31:00+00:00|2024-10-24 13:33:00+00:00|2024-10-23,2024-10-24 09:31:00-04:00,2024-10-24 09:33:00-04:00,2024-10-23,14,14.0,-1.29,-1.29,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-10-24 15:47:00+00:00|2024-10-24 15:56:00+00:00|2024-10-23,2024-10-24 11:47:00-04:00,2024-10-24 11:56:00-04:00,2024-10-23,14,14.0,-1.59,-1.59,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-10-25 17:21:00+00:00|2024-10-25 17:24:00+00:00|2024-10-24,2024-10-25 13:21:00-04:00,2024-10-25 13:24:00-04:00,2024-10-24,14,14.0,-0.18,-0.18,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-10-25 17:33:00+00:00|2024-10-25 17:41:00+00:00|2024-10-24,2024-10-25 13:33:00-04:00,2024-10-25 13:41:00-04:00,2024-10-24,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-10-28 13:30:00+00:00|2024-10-28 13:50:00+00:00|2024-10-27,2024-10-28 09:30:00-04:00,2024-10-28 09:50:00-04:00,2024-10-27,14,14.0,0.23,0.23,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-10-30 17:39:00+00:00|2024-10-30 17:43:00+00:00|2024-10-29,2024-10-30 13:39:00-04:00,2024-10-30 13:43:00-04:00,2024-10-29,14,14.0,-1.13,-1.13,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-11-01 19:50:00+00:00|2024-11-01 19:54:00+00:00|2024-10-31,2024-11-01 15:50:00-04:00,2024-11-01 15:54:00-04:00,2024-10-31,14,14.0,-1.31,-1.31,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-11-04 16:32:00+00:00|2024-11-04 16:43:00+00:00|2024-11-03,2024-11-04 11:32:00-05:00,2024-11-04 11:43:00-05:00,2024-11-03,14,14.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2024-11-05 18:37:00+00:00|2024-11-05 18:42:00+00:00|2024-11-04,2024-11-05 13:37:00-05:00,2024-11-05 13:42:00-05:00,2024-11-04,14,14.0,-0.96,-0.96,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2024-12-20 21:30:00+00:00|2024-12-20 21:40:00+00:00|2024-12-19,2024-12-20 16:30:00-05:00,2024-12-20 16:40:00-05:00,2024-12-19,15,15.0,-0.84,-0.84,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2025-01-07 20:33:00+00:00|2025-01-07 20:40:00+00:00|2025-01-06,2025-01-07 15:33:00-05:00,2025-01-07 15:40:00-05:00,2025-01-06,15,15.0,0.26,0.26,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2025-01-16 21:09:00+00:00|2025-01-16 21:14:00+00:00|2025-01-15,2025-01-16 16:09:00-05:00,2025-01-16 16:14:00-05:00,2025-01-15,15,15.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2025-01-20 15:25:00+00:00|2025-01-20 15:44:00+00:00|2025-01-19,2025-01-20 10:25:00-05:00,2025-01-20 10:44:00-05:00,2025-01-19,15,15.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2025-01-27 17:57:00+00:00|2025-01-27 18:02:00+00:00|2025-01-26,2025-01-27 12:57:00-05:00,2025-01-27 13:02:00-05:00,2025-01-26,15,15.0,-0.58,-0.58,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2025-02-07 18:54:00+00:00|2025-02-07 19:12:00+00:00|2025-02-06,2025-02-07 13:54:00-05:00,2025-02-07 14:12:00-05:00,2025-02-06,16,16.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2025-02-21 17:36:00+00:00|2025-02-21 17:56:00+00:00|2025-02-20,2025-02-21 12:36:00-05:00,2025-02-21 12:56:00-05:00,2025-02-20,16,16.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2025-02-21 18:05:00+00:00|2025-02-21 18:13:00+00:00|2025-02-20,2025-02-21 13:05:00-05:00,2025-02-21 13:13:00-05:00,2025-02-20,16,16.0,1.7056,1.7056,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2025-02-21 19:07:00+00:00|2025-02-21 19:14:00+00:00|2025-02-20,2025-02-21 14:07:00-05:00,2025-02-21 14:14:00-05:00,2025-02-20,16,16.0,0.76,0.76,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2025-02-25 19:22:00+00:00|2025-02-25 19:34:00+00:00|2025-02-24,2025-02-25 14:22:00-05:00,2025-02-25 14:34:00-05:00,2025-02-24,16,16.0,-1.0444,-1.0444,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
2025-03-26 18:58:00+00:00|2025-03-26 19:18:00+00:00|2025-03-25,2025-03-26 14:58:00-04:00,2025-03-26 15:18:00-04:00,2025-03-25,16,16.0,0.48,0.48,S26_RECOVERY_UNIVERSE,NO_MAE,,,1,0.6,0.0,4
2025-03-28 20:25:00+00:00|2025-03-28 20:45:00+00:00|2025-03-27,2025-03-28 16:25:00-04:00,2025-03-28 16:45:00-04:00,2025-03-27,16,16.0,0.0956,0.0956,S27_FROZEN,NOT_RECOVERY_UNIVERSE,,,1,0.6,0.0,4
