entry_timestamp,exit_timestamp,session_id,quality,vol_percentile,stop_points,rr,horizon,raw_points,net_points,net_R,exit_reason,holding_bars,window,validation_start,validation_end,trade_index,entry_price,path_length,max_MAE_R,max_MFE_R,final_close_R,time_to_max_MFE,time_to_max_MAE,outcome,exit_reason_path,net_R_path,window_path,mae_1R,mfe_1R,close_1R,mae_2R,mfe_2R,close_2R,mae_3R,mfe_3R,close_3R,mae_4R,mfe_4R,close_4R,mae_5R,mfe_5R,close_5R,mae_6R,mfe_6R,close_6R,mae_7R,mfe_7R,close_7R,mae_8R,mfe_8R,close_8R,mae_9R,mfe_9R,close_9R,mae_10R,mfe_10R,close_10R,mae_11R,mfe_11R,close_11R,mae_12R,mfe_12R,close_12R,mae_13R,mfe_13R,close_13R,mae_14R,mfe_14R,close_14R,mae_15R,mfe_15R,close_15R,mae_16R,mfe_16R,close_16R,mae_17R,mfe_17R,close_17R,mae_18R,mfe_18R,close_18R,mae_19R,mfe_19R,close_19R,mae_20R,mfe_20R,close_20R,mae_1,mfe_1,close_1,mae_2,mfe_2,close_2,mae_3,mfe_3,close_3,mae_4,mfe_4,close_4,mae_5,mfe_5,close_5,mae_6,mfe_6,close_6,mae_7,mfe_7,close_7,mae_8,mfe_8,close_8,mae_change_1_8,mae_change_2_8,mae_change_3_8,mae_change_5_8,mfe_change_1_8,mfe_change_2_8,mfe_change_3_8,mfe_change_5_8,close_change_1_8,close_change_2_8,close_change_3_8,close_change_5_8,mfe_minus_mae_8,mfe_to_mae_8,mae_speed_1_8,mae_speed_3_8,mae_speed_5_8,mfe_speed_1_8,mfe_speed_3_8,mfe_speed_5_8,mae_path_std_8,mfe_path_std_8,close_path_std_8,final_profitable,early_adverse,recovery_group,mae_threshold,strategy_R,strategy_exit_bar,strategy_exit_reason,filter_triggered,mae_crossing_bar
2021-05-07 14:01:00-04:00,2021-05-07 14:08:00-04:00,2021-05-06,0.7770225312476939,0.5199507511802969,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,7,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,0,13670.75,21,1.35,0.06,-1.04,1,11,LOSS,stop,-1.0444,1,0.42,0.06,-0.32,0.96,0.06,-0.76,0.96,0.06,-0.54,0.96,0.06,-0.72,0.96,0.06,-0.79,0.96,0.06,-0.79,1.09,0.06,-1.04,1.24,0.06,-1.19,1.3,0.06,-1.01,1.3,0.06,-1.24,1.35,0.06,-1.19,1.35,0.06,-1.05,1.35,0.06,-0.84,1.35,0.06,-0.92,1.35,0.06,-0.89,1.35,0.06,-0.86,1.35,0.06,-1.18,1.35,0.06,-1.1,1.35,0.06,-1.24,1.35,0.06,-1.04,0.42,0.06,-0.32,0.96,0.06,-0.76,0.96,0.06,-0.54,0.96,0.06,-0.72,0.96,0.06,-0.79,0.96,0.06,-0.79,1.09,0.06,-1.04,1.24,0.06,-1.19,0.8200000000000001,0.28,0.28,0.28,0.0,0.0,0.0,0.0,-0.8699999999999999,-0.4299999999999999,-0.6499999999999999,-0.3999999999999999,-1.18,0.0483870967741935,0.155,0.056,0.0933333333333333,0.0075,0.0,0.0,0.2344560574119228,0.0,0.2694140467225652,False,True,FAILURE,0.5,0.76,2,mae_filter_exit,True,2.0
2021-05-10 13:55:00-04:00,2021-05-10 14:15:00-04:00,2021-05-09,1.0,0.4279803910030373,25.0,1.75,20,43.75,42.64,1.7056,target,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,1,13463.5,21,0.84,2.2,2.03,20,3,WIN,target,1.7056,1,0.23,0.04,0.03,0.63,0.07,-0.43,0.84,0.07,-0.69,0.84,0.07,-0.36,0.84,0.1,0.03,0.84,0.42,0.39,0.84,0.43,0.36,0.84,0.94,0.31,0.84,0.94,0.44,0.84,0.94,0.17,0.84,0.94,0.21,0.84,0.94,0.73,0.84,0.94,0.43,0.84,0.94,0.65,0.84,1.14,0.75,0.84,1.14,0.88,0.84,1.22,1.2,0.84,1.22,1.09,0.84,1.63,1.27,0.84,2.2,2.03,0.23,0.04,0.03,0.63,0.07,-0.43,0.84,0.07,-0.69,0.84,0.07,-0.36,0.84,0.1,0.03,0.84,0.42,0.39,0.84,0.43,0.36,0.84,0.94,0.31,0.61,0.2099999999999999,0.0,0.0,0.8999999999999999,0.8699999999999999,0.8699999999999999,0.84,0.28,0.74,1.0,0.28,0.0999999999999999,1.119047619047619,0.105,0.0,0.0,0.1175,0.174,0.2799999999999999,0.2178302091079196,0.3159452936370924,0.4060260371665133,True,True,RECOVERY,0.5,0.43,2,mae_filter_exit,True,2.0
2021-05-17 13:31:00-04:00,2021-05-17 13:51:00-04:00,2021-05-16,0.8767274041889735,0.4062756032754086,25.0,1.75,20,5.25,4.140000000000001,0.1656,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,2,13207.25,21,0.88,0.99,0.21,10,5,WIN,timeout,0.1656,1,0.15,0.1,0.08,0.15,0.37,0.23,0.26,0.37,-0.25,0.54,0.37,-0.47,0.88,0.37,-0.75,0.88,0.37,-0.41,0.88,0.37,-0.26,0.88,0.37,-0.16,0.88,0.6,0.59,0.88,0.99,0.66,0.88,0.99,0.66,0.88,0.99,0.68,0.88,0.99,0.48,0.88,0.99,0.16,0.88,0.99,-0.14,0.88,0.99,0.22,0.88,0.99,0.1,0.88,0.99,-0.08,0.88,0.99,0.04,0.88,0.99,0.21,0.15,0.1,0.08,0.15,0.37,0.23,0.26,0.37,-0.25,0.54,0.37,-0.47,0.88,0.37,-0.75,0.88,0.37,-0.41,0.88,0.37,-0.26,0.88,0.37,-0.16,0.73,0.73,0.62,0.0,0.27,0.0,0.0,0.0,-0.24,-0.39,0.09,0.59,-0.51,0.4204545454545454,0.11,0.124,0.0,0.04625,0.0,0.0,0.3451190270865152,0.0954594154601839,0.3097204961159104,True,True,RECOVERY,0.5,0.47,4,mae_filter_exit,True,4.0
2021-07-08 14:32:00-04:00,2021-07-08 14:52:00-04:00,2021-07-07,0.8874261971043897,0.4113000692561527,25.0,1.75,20,2.5,1.39,0.0556,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,3,14697.75,21,0.84,0.46,0.1,18,11,WIN,timeout,0.0556,1,0.36,0.0,-0.32,0.68,0.0,-0.65,0.68,0.0,-0.56,0.75,0.0,-0.69,0.75,0.0,-0.52,0.75,0.0,-0.42,0.75,0.0,-0.43,0.75,0.0,-0.47,0.75,0.0,-0.59,0.75,0.0,-0.71,0.84,0.0,-0.66,0.84,0.0,-0.6,0.84,0.0,-0.57,0.84,0.0,-0.34,0.84,0.0,-0.32,0.84,0.17,0.15,0.84,0.33,0.33,0.84,0.46,0.4,0.84,0.46,0.17,0.84,0.46,0.1,0.36,0.0,-0.32,0.68,0.0,-0.65,0.68,0.0,-0.56,0.75,0.0,-0.69,0.75,0.0,-0.52,0.75,0.0,-0.42,0.75,0.0,-0.43,0.75,0.0,-0.47,0.39,0.0699999999999999,0.0699999999999999,0.0,0.0,0.0,0.0,0.0,-0.1499999999999999,0.18,0.09,0.05,-0.75,0.0,0.09375,0.0139999999999999,0.0,0.0,0.0,0.0,0.1345826883369477,0.0,0.1234908903522846,True,True,RECOVERY,0.5,0.65,2,mae_filter_exit,True,2.0
2021-07-16 10:11:00-04:00,2021-07-16 10:31:00-04:00,2021-07-15,1.0,0.5717480162412468,25.0,1.75,20,6.5,5.390000000000001,0.2156,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,4,14778.25,21,0.77,1.58,0.26,19,7,WIN,timeout,0.2156,1,0.11,0.24,0.12,0.5,0.24,-0.24,0.56,0.24,-0.32,0.56,0.24,-0.13,0.56,0.24,-0.11,0.56,0.24,-0.44,0.77,0.24,-0.63,0.77,0.24,-0.44,0.77,0.24,0.0,0.77,0.46,0.43,0.77,1.18,0.88,0.77,1.18,0.83,0.77,1.35,1.06,0.77,1.52,1.51,0.77,1.56,0.69,0.77,1.56,0.58,0.77,1.56,0.85,0.77,1.56,1.42,0.77,1.58,0.56,0.77,1.58,0.26,0.11,0.24,0.12,0.5,0.24,-0.24,0.56,0.24,-0.32,0.56,0.24,-0.13,0.56,0.24,-0.11,0.56,0.24,-0.44,0.77,0.24,-0.63,0.77,0.24,-0.44,0.66,0.27,0.2099999999999999,0.2099999999999999,0.0,0.0,0.0,0.0,-0.56,-0.2,-0.12,-0.33,-0.53,0.3116883116883117,0.09625,0.0419999999999999,0.0699999999999999,0.03,0.0,0.0,0.2046905329655338,0.0,0.235428939840211,True,True,RECOVERY,0.5,0.24,2,mae_filter_exit,True,2.0
2021-07-16 11:14:00-04:00,2021-07-16 11:34:00-04:00,2021-07-15,1.0,0.5880662143138435,25.0,1.75,20,-12.5,-13.61,-0.5444,timeout,20,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,5,14717.75,21,0.8,0.36,-0.5,16,8,LOSS,timeout,-0.5444,1,0.27,0.02,-0.06,0.27,0.14,0.06,0.27,0.19,0.13,0.69,0.19,-0.68,0.71,0.19,-0.46,0.71,0.19,-0.61,0.77,0.19,-0.74,0.8,0.19,-0.64,0.8,0.19,-0.31,0.8,0.19,-0.2,0.8,0.19,-0.28,0.8,0.19,-0.29,0.8,0.19,-0.37,0.8,0.19,-0.35,0.8,0.3,0.29,0.8,0.36,0.06,0.8,0.36,-0.07,0.8,0.36,0.24,0.8,0.36,-0.16,0.8,0.36,-0.5,0.27,0.02,-0.06,0.27,0.14,0.06,0.27,0.19,0.13,0.69,0.19,-0.68,0.71,0.19,-0.46,0.71,0.19,-0.61,0.77,0.19,-0.74,0.8,0.19,-0.64,0.53,0.53,0.53,0.09,0.17,0.0499999999999999,0.0,0.0,-0.5800000000000001,-0.7,-0.77,-0.18,-0.6100000000000001,0.2375,0.1,0.106,0.03,0.02375,0.0,0.0,0.243746794850722,0.0601783064852158,0.3590463559406859,False,True,FAILURE,0.5,0.68,4,mae_filter_exit,True,4.0
2021-07-30 10:33:00-04:00,2021-07-30 10:41:00-04:00,2021-07-29,1.0,0.4926647323227065,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,8,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,6,14923.0,21,1.36,0.11,-0.73,1,12,LOSS,stop,-1.0444,1,0.18,0.11,-0.18,0.45,0.11,-0.44,0.9,0.11,-0.72,0.9,0.11,-0.38,0.9,0.11,-0.19,0.9,0.11,-0.44,0.9,0.11,-0.75,1.07,0.11,-0.95,1.18,0.11,-1.04,1.28,0.11,-0.99,1.28,0.11,-1.13,1.36,0.11,-1.12,1.36,0.11,-1.11,1.36,0.11,-0.99,1.36,0.11,-0.82,1.36,0.11,-0.34,1.36,0.11,-0.6,1.36,0.11,-0.75,1.36,0.11,-0.64,1.36,0.11,-0.73,0.18,0.11,-0.18,0.45,0.11,-0.44,0.9,0.11,-0.72,0.9,0.11,-0.38,0.9,0.11,-0.19,0.9,0.11,-0.44,0.9,0.11,-0.75,1.07,0.11,-0.95,0.8900000000000001,0.6200000000000001,0.17,0.17,0.0,0.0,0.0,0.0,-0.77,-0.51,-0.2299999999999999,-0.76,-0.96,0.102803738317757,0.13375,0.034,0.0566666666666666,0.01375,0.0,0.0,0.2987593393638814,0.0,0.275988483196569,False,True,FAILURE,0.5,0.72,3,mae_filter_exit,True,3.0
2021-08-02 12:07:00-04:00,2021-08-02 12:23:00-04:00,2021-08-01,1.0,0.4605760482348734,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,16,1,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00,7,14969.0,21,1.12,0.31,-0.71,3,17,LOSS,stop,-1.0444,1,0.04,0.19,0.08,0.04,0.25,0.22,0.16,0.31,-0.06,0.25,0.31,-0.13,0.42,0.31,-0.4,0.57,0.31,-0.42,0.61,0.31,-0.55,0.75,0.31,-0.59,0.75,0.31,-0.64,0.8,0.31,-0.72,0.87,0.31,-0.71,0.87,0.31,-0.84,0.87,0.31,-0.69,0.87,0.31,-0.72,0.87,0.31,-0.52,1.03,0.31,-1.03,1.12,0.31,-0.87,1.12,0.31,-0.81,1.12,0.31,-0.68,1.12,0.31,-0.71,0.04,0.19,0.08,0.04,0.25,0.22,0.16,0.31,-0.06,0.25,0.31,-0.13,0.42,0.31,-0.4,0.57,0.31,-0.42,0.61,0.31,-0.55,0.75,0.31,-0.59,0.71,0.71,0.59,0.33,0.12,0.06,0.0,0.0,-0.6699999999999999,-0.8099999999999999,-0.53,-0.1899999999999999,-0.44,0.4133333333333333,0.09375,0.118,0.11,0.03875,0.0,0.0,0.2722918602214491,0.0446414285485706,0.3010665564764234,False,True,FAILURE,0.5,0.42,6,mae_filter_exit,True,6.0
2021-09-22 09:36:00-04:00,2021-09-22 09:51:00-04:00,2021-09-21,0.750463411585552,0.4675149525038114,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,15,2,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00,8,15023.75,21,1.95,0.36,-1.7,7,20,LOSS,stop,-1.0444,2,0.55,0.05,-0.32,0.81,0.05,-0.29,0.81,0.05,-0.19,0.81,0.05,-0.41,0.81,0.05,-0.37,0.81,0.05,-0.43,0.81,0.36,0.2,0.81,0.36,0.08,0.81,0.36,-0.2,0.81,0.36,-0.21,0.81,0.36,-0.37,0.81,0.36,-0.5,0.81,0.36,-0.32,0.81,0.36,-0.6,1.17,0.36,-0.99,1.17,0.36,-0.85,1.22,0.36,-1.03,1.22,0.36,-1.03,1.41,0.36,-1.36,1.95,0.36,-1.7,0.55,0.05,-0.32,0.81,0.05,-0.29,0.81,0.05,-0.19,0.81,0.05,-0.41,0.81,0.05,-0.37,0.81,0.05,-0.43,0.81,0.36,0.2,0.81,0.36,0.08,0.26,0.0,0.0,0.0,0.31,0.31,0.31,0.31,0.4,0.37,0.27,0.45,-0.45,0.4444444444444444,0.10125,0.0,0.0,0.045,0.062,0.1033333333333333,0.0919238815542511,0.1435021154647454,0.2344560574119228,False,True,FAILURE,0.5,0.32,1,mae_filter_exit,True,1.0
2021-11-08 10:42:00-05:00,2021-11-08 10:46:00-05:00,2021-11-07,0.7595911694432955,0.5843040225601049,25.0,1.75,20,-25.0,-26.11,-1.0444,stop,4,3,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00,9,16304.75,21,1.74,-0.01,-1.35,1,17,LOSS,stop,-1.0444,3,0.44,-0.01,-0.34,0.53,-0.01,-0.45,0.78,-0.01,-0.77,1.24,-0.01,-1.14,1.54,-0.01,-1.21,1.54,-0.01,-1.18,1.57,-0.01,-1.48,1.57,-0.01,-1.27,1.57,-0.01,-1.41,1.57,-0.01,-1.36,1.57,-0.01,-1.51,1.57,-0.01,-1.44,1.57,-0.01,-1.39,1.68,-0.01,-1.35,1.68,-0.01,-1.46,1.68,-0.01,-1.64,1.74,-0.01,-1.29,1.74,-0.01,-1.27,1.74,-0.01,-1.09,1.74,-0.01,-1.35,0.44,-0.01,-0.34,0.53,-0.01,-0.45,0.78,-0.01,-0.77,1.24,-0.01,-1.14,1.54,-0.01,-1.21,1.54,-0.01,-1.18,1.57,-0.01,-1.48,1.57,-0.01,-1.27,1.13,1.04,0.79,0.03,0.0,0.0,0.0,0.0,-0.93,-0.8200000000000001,-0.5,-0.06,-1.58,-0.0063694267515923,0.19625,0.158,0.01,-0.00125,0.0,0.0,0.4914246781407241,0.0,0.41182520563948,False,True,FAILURE,0.5,0.45,2,mae_filter_exit,True,2.0
