observations,wins,losses,unresolved,win_rate,loss_rate,tp,sl,rr,horizon,breakeven_win_rate,wr_edge_vs_breakeven,expectancy_r,side,hmm_state,vol_bucket,zscore,wr_ge_50,positive_expectancy,candidate,research_score
3267,1687,1580,0,0.5163758800122437,0.48362411998775634,40.0,15.0,2.6666666666666665,5,0.27272727272727276,0.2436486072849709,0.8933782267115601,LONG,0,20-40,2.0,True,True,True,7.3475409718388045
5154,2598,2556,0,0.5040745052386496,0.4959254947613504,40.0,15.0,2.6666666666666665,5,0.27272727272727276,0.23134723251137684,0.8482731858750484,LONG,0,40-60,2.0,True,True,True,7.280347146910654
3267,1687,1580,0,0.5163758800122437,0.48362411998775634,37.5,15.0,2.5,5,0.2857142857142857,0.23066159429795796,0.8073155800428528,LONG,0,20-40,2.0,True,True,True,6.639723382786038
5154,2599,2555,0,0.5042685292976329,0.4957314707023671,37.5,15.0,2.5,5,0.2857142857142857,0.21855424358334719,0.7649398525417151,LONG,0,40-60,2.0,True,True,True,6.566403260616512
5154,2687,2467,0,0.5213426464881645,0.47865735351183547,40.0,17.5,2.2857142857142856,5,0.30434782608695654,0.216994820401208,0.7129829813182549,LONG,0,40-60,2.0,True,True,True,6.2244508083635885
3267,1722,1545,0,0.527089072543618,0.472910927456382,40.0,17.5,2.2857142857142856,5,0.30434782608695654,0.2227412464566615,0.7318640955004592,LONG,0,20-40,2.0,True,True,True,6.082622344742413
861,440,421,0,0.5110336817653891,0.4889663182346109,40.0,15.0,2.6666666666666665,5,0.27272727272727276,0.23830640903811634,0.8737901664730934,LONG,0,20-40,2.5,True,True,True,5.971337597116259
3267,1688,1579,0,0.5166819712274258,0.48331802877257424,35.0,15.0,2.3333333333333335,5,0.3,0.21668197122742577,0.7222732374247527,LONG,0,20-40,2.0,True,True,True,5.942086206017329
5154,2600,2554,0,0.5044625533566163,0.4955374466433838,35.0,15.0,2.3333333333333335,5,0.3,0.20446255335661628,0.6815418445220542,LONG,0,40-60,2.0,True,True,True,5.851627675430769
5154,2687,2467,0,0.5213426464881645,0.47865735351183547,37.5,17.5,2.142857142857143,5,0.3181818181818182,0.20316082830634635,0.6385054603913742,LONG,0,40-60,2.0,True,True,True,5.574250624789629
3267,1722,1545,0,0.527089072543618,0.472910927456382,37.5,17.5,2.142857142857143,5,0.3181818181818182,0.20890725436179985,0.6565656565656566,LONG,0,20-40,2.0,True,True,True,5.456806745910696
