side,hmm_state,vol_bucket,zscore,observations,windows,mean_path_wr,median_path_wr,mean_mfe,mean_mae,window_wr_std,windows_positive,windows_tested,sample_score,wr_score,positive_window_ratio,stability_score,mfe_mae_score,research_score,distance_to_50wr,wr_gap
SHORT,0,20-40,3.0,175,17,0.3862857142857143,0.3942857142857143,,,,,,0.542874297010466,0.2725714285714286,,0.5,,,0.11371428571428571,0.11371428571428571
SHORT,1,20-40,3.5,130,17,0.372,0.3692307692307692,,,,,,0.5118707111674566,0.244,,0.5,,,0.128,0.128
LONG,0,80-100,2.5,922,21,0.3617353579175705,0.3568329718004338,,,,,,0.7168660466768338,0.223470715835141,,0.5,,,0.1382646420824295,0.1382646420824295
LONG,0,40-60,2.0,3057,21,0.3535099771017337,0.3395485770363101,,,,,,0.8426380529641398,0.20701995420346742,,0.5,,,0.1464900228982663,0.1464900228982663
LONG,1,20-40,3.0,359,20,0.3526462395543175,0.3481894150417827,,,,,,0.6180107299955766,0.20529247910863502,,0.5,,,0.1473537604456825,0.1473537604456825
LONG,1,20-40,2.0,2573,21,0.3492421298095609,0.3482316362223085,,,,,,0.8245474369677149,0.19848425961912175,,0.5,,,0.15075787019043912,0.15075787019043912
LONG,0,20-40,2.5,877,20,0.3480957810718358,0.338654503990878,,,,,,0.7116181257762301,0.19619156214367162,,0.5,,,0.1519042189281642,0.1519042189281642
LONG,0,80-100,1.5,9442,21,0.3470408811692438,0.3377462402033467,,,,,,0.9610210942567534,0.19408176233848762,,0.5,,,0.1529591188307562,0.1529591188307562
LONG,0,20-40,3.0,236,20,0.3469491525423729,0.3559322033898305,,,,,,0.5741182659067066,0.19389830508474581,,0.5,,,0.1530508474576271,0.1530508474576271
LONG,1,20-40,2.5,946,20,0.3458350951374208,0.3604651162790697,,,,,,0.7195612501626947,0.19167019027484156,,0.5,,,0.15416490486257922,0.15416490486257922
LONG,0,40-60,2.5,792,20,0.3456060606060606,0.3358585858585858,,,,,,0.7009271940284617,0.19121212121212117,,0.5,,,0.15439393939393942,0.15439393939393942
LONG,1,20-40,1.5,5554,21,0.3453583003240908,0.3433561397191214,,,,,,0.9053134090562112,0.19071660064818163,,0.5,,,0.15464169967590918,0.15464169967590918
LONG,0,80-100,2.0,3477,21,0.3450675870002875,0.3304572907679033,,,,,,0.8561505051893534,0.190135174000575,,0.5,,,0.1549324129997125,0.1549324129997125
LONG,0,60-80,2.0,3715,21,0.3435908479138628,0.3332436069986541,,,,,,0.8631001581866904,0.1871816958277256,,0.5,,,0.1564091520861372,0.1564091520861372
LONG,1,40-60,2.0,2570,21,0.3430972762645915,0.3322957198443579,,,,,,0.8244249939562768,0.18619455252918304,,0.5,,,0.15690272373540848,0.15690272373540848
LONG,0,20-40,2.0,3191,20,0.3426762770291445,0.3290504544030084,,,,,,0.8471409230420353,0.185352554058289,,0.5,,,0.1573237229708555,0.1573237229708555
LONG,0,40-60,1.5,8453,21,0.3410812729208565,0.3314799479474742,,,,,,0.9494050892297408,0.182162545841713,,0.5,,,0.1589187270791435,0.1589187270791435
SHORT,0,80-100,2.0,3644,21,0.3408891328210758,0.3246432491767289,,,,,,0.8610746543174161,0.1817782656421516,,0.5,,,0.1591108671789242,0.1591108671789242
LONG,0,60-80,1.5,9666,21,0.3403972687771571,0.3290916614938961,,,,,,0.963482625203257,0.18079453755431418,,0.5,,,0.1596027312228429,0.1596027312228429
LONG,1,40-60,1.5,5617,21,0.3400462880541214,0.3329179277194232,,,,,,0.9064974682952431,0.1800925761082428,,0.5,,,0.1599537119458786,0.1599537119458786
